DS,Size,Op,OpCount,Cache,Misses
RBSTree,100000,Add,100000,D1mr,28535609
RBSTree,100000,Add,100000,DLmr,364182
RBSTree,100000,Add,100000,Dw,603576606
RBSTree,100000,Add,100000,D1mw,36504879
RBSTree,100000,Add,100000,DLmw,975453
SkipList,100000,Add,100000,Ir,2290975891
SkipList,100000,Add,100000,I1mr,19872099
SkipList,100000,Add,100000,ILmr,64923
SkipList,100000,Add,100000,Dr,741489876
SkipList,100000,Add,100000,D1mr,11209365
SkipList,100000,Add,100000,DLmr,371106
SkipList,100000,Add,100000,Dw,370118045
SkipList,100000,Add,100000,D1mw,13072332
SkipList,100000,Add,100000,DLmw,964135
BadBisect,1000000,Base,1000000,Ir,534518421
BadBisect,1000000,Base,1000000,I1mr,10168821
BadBisect,1000000,Base,1000000,ILmr,49119
BadBisect,1000000,Base,1000000,Dr,172918742
BadBisect,1000000,Base,1000000,D1mr,5575649
BadBisect,1000000,Base,1000000,DLmr,509691
BadBisect,1000000,Base,1000000,Dw,107843218
BadBisect,1000000,Base,1000000,D1mw,2012001
BadBisect,1000000,Base,1000000,DLmw,836289
SortedList,1000000,Base,1000000,Ir,534514285
SortedList,1000000,Base,1000000,I1mr,10176475
SortedList,1000000,Base,1000000,ILmr,49154
SortedList,1000000,Base,1000000,Dr,172950312
SortedList,1000000,Base,1000000,D1mr,5576404
SortedList,1000000,Base,1000000,DLmr,509921
SortedList,1000000,Base,1000000,Dw,107878865
SortedList,1000000,Base,1000000,D1mw,2013122
SortedList,1000000,Base,1000000,DLmw,836387
SortedArray,1000000,Base,1000000,Ir,533928805
SortedArray,1000000,Base,1000000,I1mr,10154356
SortedArray,1000000,Base,1000000,ILmr,49110
SortedArray,1000000,Base,1000000,Dr,172814099
SortedArray,1000000,Base,1000000,D1mr,5590967
SortedArray,1000000,Base,1000000,DLmr,509768
SortedArray,1000000,Base,1000000,Dw,107862944
SortedArray,1000000,Base,1000000,D1mw,2006206
SortedArray,1000000,Base,1000000,DLmw,835487
AutoLoad,1000000,Base,1000000,Ir,539836762
AutoLoad,1000000,Base,1000000,I1mr,10292970
AutoLoad,1000000,Base,1000000,ILmr,68496
AutoLoad,1000000,Base,1000000,Dr,167399068
AutoLoad,1000000,Base,1000000,D1mr,5659509
AutoLoad,1000000,Base,1000000,DLmr,559107
AutoLoad,1000000,Base,1000000,Dw,101166430
AutoLoad,1000000,Base,1000000,D1mw,2141385
AutoLoad,1000000,Base,1000000,DLmw,932810
RBSTree,1000000,Base,1000000,Ir,10025908107
RBSTree,1000000,Base,1000000,I1mr,22176832
RBSTree,1000000,Base,1000000,ILmr,73759
RBSTree,1000000,Base,1000000,Dr,3467512789
RBSTree,1000000,Base,1000000,D1mr,94616882
